#,SuperCategory,SubCategory,Level,Lexical Range,guideword,Can-do statement,Example
593,MODALITY,should,B2,N/A,USE: OBLIGATION,Can use 'should be' + '-ing' to talk about present general obligation.,"Wild animals should be running free but I think that zoos today have an important role in keeping them alive. (Sweden; B2 VANTAGE; 1993; Swedish; Pass)

Moreover if a car driver has drunk too many alcoholic drinks or is tired he shouldn't be driving. (Greece; B2 VANTAGE; 1993; Greek; Pass)"
594,MODALITY,should,C1,N/A,FORM/USE: AFTER 'IF' CLAUSES,Can use 'should' after 'if' to talk about possible situations in the future.,"If you should change your mind and prefer to take a taxi, you can do it outside the airport by calling this number: 3570. (Italian, C1 EFFECTIVE OPERATIONAL PROFICIENCY, Pass, 1993)

If something should happen, call 112, the local alarm number. (===NONE===, C1 EFFECTIVE OPERATIONAL PROFICIENCY, Pass, 2004)"
595,MODALITY,should,C1,N/A,FORM/USE: INVERSION,"Can use 'should' with an inverted subject to refer to possible situations, in formal contexts.","Should you need any further information, don't hesitate to contact us. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; Greek; Pass)

Should you withhold any important information or documentation, this could stop any payment to you. (Switzerland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2002; German; Pass)"
596,MODALITY,used to,B1,N/A,FORM: AFFIRMATIVE|,Can use the affirmative form.,"I used to share my room with my brother. (Albania; B1 THRESHOLD; 2007; Albanian; Pass)

When I was a little girl, we used to be together all the time. (Hungary; B1 THRESHOLD; 2004; Hungarian; Pass)"
597,MODALITY,used to,B1,N/A,FORM: NEGATIVE,Can use the negative forms 'didn't use to' and 'didn't used to'.,"We didn't use to talk to each other. (Brazil; B1 THRESHOLD; 2009; Portuguese; Pass)

But this year I've met lots of new people that I didn't used to talk to, like Monica and Nina. (Brazil; B1 THRESHOLD; 2009; Portuguese; Pass)"
598,MODALITY,used to,B1,N/A,USE: NO LONGER TRUE,Can use 'used to' to talk about repeated actions or states in the past that are no longer true.,"When I was I child, I used to go to a small school and I enjoyed it very much. (Italy; B1 THRESHOLD; 2008; Italian; Pass)

…and she used to come to my house and play computer games with me. (Hong Kong; B1 THRESHOLD; 2008; Chinese; Pass)

I didn't use to laugh much but since the day we met, I'm always happy. (Turkey; B1 THRESHOLD; 2009; Turkish; Pass)"
599,MODALITY,used to,B2,N/A,FORM: ELLIPSIS,Can use 'used to' without a following verb where the previous main verb is understood. ► ellipsis,"She doesn't travel as much as she used to. (Argentina; B2 VANTAGE; 1999; Spanish - Latin American; Pass)

I must admit that they did sound quite a lot better than they used to. (Denmark; B2 VANTAGE; 1999; Danish; Pass)"
600,MODALITY,used to,C1,N/A,FORM: QUESTIONS,Can use the question form.,[talking about a change in eating habits] What did we use to eat? (Netherlands; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1998; Dutch; Pass)
601,MODALITY,used to,C2,N/A,"FORM/USE: WITH 'AS' + PRONOUN, NARRATIVE ","Can use 'as' + pronoun + 'used to' … to add background to a narrative, often to highlight something unusual. ","She had gone out for a walk in the woods as she used to do every Sunday, with her diary in her hand and a pen in her pocket. (Italy; C2 MASTERY; 1993; Italian; Pass)

He divorced his wife, old flabby Nellie as she used to call her, and proposed to her. (Germany; C2 MASTERY; 1993; German; Pass)

She married a well-off man, and ended up being a housewife, doing piecework for peanuts, as she used to say. (Portugal; C2 MASTERY; 1993; Portuguese; Pass)"
602,MODALITY,used to,C2,N/A,FORM: 'USED NOT TO',Can use negative form 'used not to',"I used to play until late in the evening, I used not to do my homework and I did not excel at school. (Italy; C2 MASTERY; 1993; Italian; Pass)

As a teenager I used not to be very sociable, I had few friends and none of them felt close. (Poland; C2 MASTERY; 2003; Polish; Pass)"
603,MODALITY,will,A1,N/A,FORM: AFFIRMATIVE,Can use the affirmative forms.,"I will be at your house at 7.30 because I have an appointment before. (A1 BREAKTHROUGH; 2006; Russian; Pass)

I'll come to see you tomorrow morning. (A1 BREAKTHROUGH; 2009; Nepali; Pass)"
604,MODALITY,will,A1,N/A,USE: PLANS AND INTENTIONS,Can use 'will' to talk about plans and intentions.,"I will bring some music to the dinner. (A1 BREAKTHROUGH; 2008; Bengali; Pass)

I'll see you tomorrow. (A1 BREAKTHROUGH; 2006; Polish; Pass)"
605,MODALITY,will,A2,N/A,"FORM/USE: AFTER 'IF', FUTURE SITUATIONS",Can use 'will' in the main clause after an 'if-' clause to talk about possible future situations. ► conditionals,"If I need a camera, I will use my mobile phone. (Turkey; A2 WAYSTAGE; 2007; Turkish; Pass)

And if my mum can, she will fetch you. (Italy; A2 WAYSTAGE; 2009; Italian; Pass)

If you can help me, I will be very happy. (A2 WAYSTAGE; 2007; Polish; Pass)"
606,MODALITY,will,A2,N/A,FORM: NEGATIVE,Can use the negative forms.,"Don't worry, you won't need anything apart from some pencils and your art book. (Italy; A2 WAYSTAGE; 2006; Italian; Pass)

I hope it will not be boring! (France; A2 WAYSTAGE; 2006; French; Pass)
"
607,MODALITY,will,A2,N/A,FORM: QUESTIONS,Can use the question form.,"Will you be at home? (France; A2 WAYSTAGE; 2005; French; Pass)

I'm happy because I'll see you tomorrow, but what time will you be here? (Spain; A2 WAYSTAGE; 2009; Spanish - European; Pass)
"
608,MODALITY,will,A2,N/A,USE: PLANS AND INTENTIONS,Can use 'will' to ask about plans and intentions.,"Will you come by bus? (Spain; A2 WAYSTAGE; 2009; Spanish - European; Pass)

Will you come with any friends? (Spain; A2 WAYSTAGE; 2009; Basque; Pass)"
609,MODALITY,will,A2,N/A,"USE: WILLINGNESS, OFFERS",Can use 'will' to talk about willingness and offers,"My mother will get us there, and she will bring us to my house after too. (Brazil; A2 WAYSTAGE; 2008; Portuguese; Pass)"
610,MODALITY,will,A2,1,USE: REQUESTS,Can use 'will' to make requests in a limited range of contexts.,"Will you come with me? (India; A2 WAYSTAGE; 2009; Telugu; Pass)

Will you be able to visit some museums with me? (Spain; A2 WAYSTAGE; 2003; Spanish - European; Pass)"
611,MODALITY,will,B1,N/A,USE: FIXED PLANS,"Can use 'will' to talk about fixed plans in the future, often with timetabled times or dates.","Mr Miller, the Sales Director, will visit us next Thursday. (Germany; B1 THRESHOLD; 2001; German; Pass)

I'm sorry, but I won't be able to attend your class tomorrow …. (Peru; B1 THRESHOLD; 2006; Spanish - Latin American; Pass)"
612,MODALITY,will,B1,N/A,USE: PREDICTIONS,Can use 'will' to make predictions.► question tags,"I think that in 20 years' time it will be bigger than it is, because my town is growing very fast. (Brazil; B1 THRESHOLD; 2007; Portuguese; Pass)

All your life, you'll be able to look at your parents, but as soon as you finish your school, it'll be harder to meet your old friends. (Mexico; B1 THRESHOLD; 2008; Spanish - Latin American; Pass)

But you're right, without much sport practice you'll soon put on weight, won't you? (Russia; B1 THRESHOLD; 2009; Russian; Pass)"
613,MODALITY,will,B2,3,USE: REQUESTS,Can use 'will' (particularly 'Will you please') to make requests and commands in a wide range of contexts.,"Will you please send me his name, address and telephone number. (Sweden; B2 VANTAGE; 1993; Swedish; Pass)

Will you please inform me about the exact payment. (Netherlands; B2 VANTAGE; 1998; Dutch; Pass)

Will you pay attention! (Hungary; B2 VANTAGE; 2005; Hungarian; Pass)"
614,MODALITY,will,C1,N/A,USE: HABITUAL AND TYPICAL,Can use 'will' to talk about something which is typical or habitual.,"The abundance of ingredients required in any recipe will result normally in a spicy but nutritious dish, a dish that will usually contain some kind of sauce made of hot pepper, tomatoes, garlic and onion, some kind of meat and also some vegetables. (Mexico; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2005; Spanish - Latin American; Pass)

She will often knock on the door to see you. (Japan; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; Japanese; Fail)

Go to lots of beautiful places that you won't usually be able to go to with a car, such as riversides. (Hong Kong; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2003; Chinese; Pass)"
615,MODALITY,will,C2,N/A,USE: WILLFULNESS OR DISAPPROVAL,"Can use 'will' to talk about general behaviour, often disapprovingly.",Indeed no one can imagine what children will do! (France; C2 MASTERY; 1993; French; Pass)
616,MODALITY,would,A1,N/A,FORM: AFFIRMATIVE WITH 'LIKE',Can use the affirmative form with 'like'.,"I'd like to invite you to dinner. (Farsi, A1 BREAKTHROUGH, Pass, 2008)

I would like to eat some Spanish food. (Italian, A1 BREAKTHROUGH, Pass, 2006)"
617,MODALITY,would,A1,N/A,USE: INVITATIONS WITH 'LIKE',Can use 'would like to invite' to make invitations.,"I would like to invite you to dinner in my house on Saturday at 7 30 pm. (A1 BREAKTHROUGH; 2010; Others; Pass)

Dear Neighbours, I would like to invite you to my home for dinner. (A1 BREAKTHROUGH; 2008; Arabic - Other; Pass)"
618,MODALITY,would,A1,N/A,USE: WISHES AND PREFERENCES WITH 'LIKE',Can use 'would like' to talk about wishes and preferences.,"If possible, I'd like to come to see you on Tuesday afternoon. (A1 BREAKTHROUGH; 2009; French; Pass)

I would like to eat chicken, potatoes and some vegetables. (A1 BREAKTHROUGH; 2006; Nepali; Pass)"
619,MODALITY,would,A2,N/A,FORM: AFFIRMATIVE,Can use the affirmative form.,"I'd love to have a pen-friend in Japan. (China; A2 WAYSTAGE; 2002; Chinese; Pass)

[talking about what day to go to the cinema] I would prefer Sunday afternoon. (Chinese, A2 WAYSTAGE, Pass, 2003)"
620,MODALITY,would,A2,N/A,FORM: NEGATIVE,Can use the negative forms.,"[talking about clothes] You wouldn't believe how much they cost! (Chinese, A2 WAYSTAGE, Pass, 2008)

I think we would not need much money. (India; A2 WAYSTAGE; 2010; Panjabi; )"
621,MODALITY,would,A2,N/A,FORM: QUESTIONS WITH 'LIKE',Can use the question form 'would you like'.,"Sarah, would you like to play tennis this evening? (Portuguese, A2 WAYSTAGE, Pass, 2008)

I'm going to a concert on Saturday. Would you like to go with me? (Croatian, A2 WAYSTAGE, Pass, 2009)

I want to watch the film, would you like to come with me? (Arabic - Meghreb, A2 WAYSTAGE, Pass, 2003)"
622,MODALITY,would,A2,N/A,USE: IMAGINED SITUATIONS,Can use 'would' to talk about imagined situations.,"I was thinking of painting my bedroom blue. It would look awesome. (Bengali, A2 WAYSTAGE, Pass, 2006)

It would be fun there. (Taiwan; A2 WAYSTAGE; 2010; Chinese; Pass)"
623,MODALITY,would,A2,N/A,USE: SUGGESTIONS WITH 'IT WOULD BE',Can use 'it would be' to make suggestions.,"[talking about a jazz concert] It would be very good if you came with me. (India; A2 WAYSTAGE; 2009; Oriya; Pass)

It would be nice to bring your new computer game and some clothes. (Cyprus; A2 WAYSTAGE; 2009; Greek; Pass)

It would be perfect if you arrived at 7.20. (Peru; A2 WAYSTAGE; 2008; Spanish - Latin American; Pass)"
624,MODALITY,would,A2,N/A,USE: WISHES AND PREFERENCES,Can use 'would' with a wide range of verbs to talk about wishes and preferences.,"I would prefer to go on Sunday, because on Sunday I have no school. (Malaysia; A2 WAYSTAGE; 2003; Chinese; Pass)

[talking about going to see a film] I'd prefer to see it tomorrow. (Uruguay; A2 WAYSTAGE; 2003; Spanish - Latin American; Pass)

Bring your new CD! I'd love to hear it! (Cyprus; A2 WAYSTAGE; 2009; Greek; Pass)"
625,MODALITY,would,B1,N/A,FORM/USE: AFTER 'IF' CLAUSES,"Can use 'would' in the main clause of a conditional sentence to talk about an imagined situation, often in the context of advice or opinion-giving.","It's your decision but if I had the chance, I would go with my friends. (German, B1 THRESHOLD, Pass, 2008)

If you decided to go to the country school, you'd probably have more attention as a student. (Portuguese, B1 THRESHOLD, Pass, 2008)

If I were you, I would not watch TV all the time. (Chinese, B1 THRESHOLD, Pass, 2010)

If I were able to move, I wouldn't move because I think this street is perfect.  (Spanish - Latin American, B1 THRESHOLD, Pass, 2010)"
626,MODALITY,would,B1,N/A,FORM: PAST AFFIRMATIVE,Can use 'would have' + '-ed'.,"I did not think my friend Janis would have done that. (France; B1 THRESHOLD; 2008; French; Pass)

That answer would have changed my life. (Italy; B1 THRESHOLD; 2008; Italian; Pass)"
627,MODALITY,would,B1,N/A,FORM: PAST NEGATIVE,Can use 'would not have' + '-ed' or 'wouldn’t have' + '-ed',"Without your help, I wouldn't have got this result. (Spain; B1 THRESHOLD; 2010; Spanish - European; Pass)

Had it not been for that day, she would not have met George. (Vietnam; B1 THRESHOLD; 2009; Vietnamese; Pass)"
628,MODALITY,would,B1,N/A,FORM: QUESTIONS,Can use question forms.,"Would you let me know what you think? (French, B1 THRESHOLD, Pass, 2011)

Would you please do me a favour? Could you go and collect the clothes for me? (Singhalese, B1 THRESHOLD, Pass, 2009)

Think of the fun you will have with your friends, the whole day hanging around, playing sports, eating ice cream. Wouldn't that be wonderful? (Swiss German, B1 THRESHOLD, Pass, 2008)

I think it would be fantastic, wouldn't it? (Italian, B1 THRESHOLD, Pass, 2008)"
629,MODALITY,would,B1,1,FORM: WITH ADVERBS,"Can use an limited range of adverbs with 'would', including 'really', 'probably', 'certainly', 'definitely'.► adverbs","I hope you will come soon, and I think that you would really enjoy it because is something different of what you are used to. (Peru; B1 THRESHOLD; 2004; Spanish - Latin American; Pass)

More over in my opinion it would probably be the best idea to choose the biggest school ... (Italy; B1 THRESHOLD; 2008; Italian; Pass)

I would definitely choose to live by the sea side! (Malaysia; B1 THRESHOLD; 2010; Chinese; Pass)"
630,MODALITY,would,B1,N/A,USE: FUTURE IN THE PAST,Can use 'would' to talk about the future in the past.,"I've just bought a new dress, and a beautiful black T-shirt. When I saw them, I thought they would be great for tonight's party. (Spanish - Latin American, B1 THRESHOLD, Pass, 2010)

… we thought that the film would be horrible because of the title but when the film started, the story was beautiful and Mauricio and I liked it a lot. (Portuguese, B1 THRESHOLD, Pass, 2002)

And she asked me if I would play the game with her against her cousin and her friend on Saturday. (Germany; B1 THRESHOLD; 2001; German; Pass)"
631,MODALITY,would,B1,N/A,USE: IMAGINED SITUATIONS IN THE PAST,Can use 'would' to talk about imagined situations in the past. ► conditionals,"The next week I would have flown to Miami to meet George Clooney. (Italy; B1 THRESHOLD; 2008; Italian; Pass)

If I were in your shoes I would have chosen the school which is in the centre of town…  (Iran; B1 THRESHOLD; 2008; Farsi; Pass)

If you hadn't helped me, I wouldn't have known how to do that homework project. (Italy; B1 THRESHOLD; 2010; Italian; Pass)

If I had gone with uncomfortable shoes, I wouldn't have danced all the time. (B1 THRESHOLD; 2008; Spanish - Other; Pass)"
632,MODALITY,would,B1,N/A,USE: INDIRECTNESS,"Can use 'would' with verbs such as 'advise', 'imagine', 'recommend', 'say' to be less direct.","I'd advise you to go with your friends because I bet you'll have so much fun! (German, B1 THRESHOLD, Pass, 2008)

If you want my opinion, I'd recommend the countryside because I think that the city in my country is very noisy. (Spanish - Latin American, B1 THRESHOLD, Pass, 2004)

Finally, I'd say that you should talk with your parents and your friends to decide. (French, B1 THRESHOLD, Pass, 2008)

If you have decided to move, I would say that it is better for you to choose the large school in the centre of the town. (German, B1 THRESHOLD, Pass, 2008)"
633,MODALITY,would,B1,N/A,USE: POLITE REQUESTS,"Can use 'would' to make polite requests, often in the fixed expression 'would you mind'.","Would you tell me about your room in your next letter, please? (Chinese, B1 THRESHOLD, Pass, 2001)

Would it be possible for you to meet me later that day, around 7? (German, B1 THRESHOLD, Pass, 2008)

I had forgotten I have an appointment with my dentist at that time, so, would you mind if we met at 5 o'clock instead of meeting at 4 o'clock? (Spanish - Latin American, B1 THRESHOLD, Pass, 2008)

We are supposed to have a barbecue for lunch, would you mind bringing a salad? (Spanish - Latin American, B1 THRESHOLD, Pass, 2009)"
634,MODALITY,would,B1,N/A,USE: REPORTED SPEECH,Can use 'would' as the past form of 'will' in reported clauses.,"She accepted the invitation and she said that she would come on the 21st of June. (Spanish - European, B1 THRESHOLD, Pass, 2008)

I felt better when he said that he would be in Fenerbahce. (Turkish, B1 THRESHOLD, Pass, 2009)

He told me I would like it and he was right! (Italy; B1 THRESHOLD; 2003; Italian; Pass)"
635,MODALITY,would,B1,N/A,USE: WILLINGNESS IN THE PAST,Can use the negative forms of 'would' to talk about willingness in the past.,"We had to leave without you because the bus driver wouldn't wait. (===NONE===, B1 THRESHOLD, Pass, 2004)

[talking about a guitar] It was all that I wanted in life but my parents would not allow me to buy it. (Spanish - Latin American, B1 THRESHOLD, Pass, 2010)"
636,MODALITY,would,B2,N/A,USE: HABITUAL PAST,Can use 'would' to talk about habitual actions and events in the past.,"[talking about a job that the speaker did last year] In my opinion I worked very hard. I would spend a lot of hours at work. (Chinese, B2 VANTAGE, Pass, 2011)

[from a story about pirates] At night they would go to the rocky seaside and light a fire in order to deceive the boats and let them crash on the rocks. (Portuguese, B2 VANTAGE, Pass, 1993)"
637,MODALITY,would,C1,2,FORM: WITH ADVERBS,"Can use an increasing range of adverbs with 'would', including 'strongly', 'easily', 'especially', 'actually', 'absolutely', 'gladly'  ► adverbs","Considering the aspects of our education system, and the results of my research, I would strongly recommend the following changes to be made. (Croatia; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; Croatian; Pass)

Because of her wide and excellent experience with small children I believe that Nascha would easily fit into a family with small children. (Germany; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; German; Pass)"
638,MODALITY,would,C2,3,FORM: WITH ADVERBS,"Can use a wide range of adverbs with 'would', including 'undoubtedly', 'possibly', 'normally', 'personally', 'eventually', 'obviously', 'significantly', 'inevitably'. ► adverbs","[talking about the construction of a leisure centre] I believe that the construction of such a centre would undoubtedly contribute to the improvement of our quality of life. (Greek, C2 MASTERY, Pass, 2009)

Organising family-oriented activities would significantly increase membership and raise the society's popularity with the local community. (Greek, C2 MASTERY, Pass, 2009)"
639,MODALITY,adverbs,A2,N/A,"FORM/USE: MID POSITION, HEDGING OR EMPHASIS","Can use adverbs in mid position or after main verb 'be', to modify an assertion, either through hedging or emphasis. ► adverbs: position","It is probably in the sitting room on the table. (Czech Republic; A2 WAYSTAGE; 2005; Czech; Pass)

You should probably wear a T-shirt and shorts, with sneakers. (Maldives; A2 WAYSTAGE; 2008; Others; Pass)

[talking about painting] It's definitely going to get messy. (Thailand; A2 WAYSTAGE; 2006; Thai; Pass)"
640,MODALITY,adverbs,A2,N/A,FORM: CLAUSE POSITION,"Can use adverbs of certainty and possibility ('maybe', 'perhaps'), before a clause or ellipted clause. ► adverbs: position","I think I left my phone there, maybe in your kitchen. (Italy; A2 WAYSTAGE; 2005; Italian; Pass)

Maybe we could visit that park you told me about or play at your house. (Mexico; A2 WAYSTAGE; 2003; Spanish - Latin American; Pass)

I want to buy new trousers and, perhaps, a T-shirt. (Spain; A2 WAYSTAGE; 2001; Catalan; Pass)

There you can dance, eat, drink and meet new friends (or perhaps a girlfriend). (Brazil; A2 WAYSTAGE; 2010; Portuguese; Pass)

Perhaps it's in the kitchen under the table. (Switzerland; A2 WAYSTAGE; 2005; Swiss German; Pass)"
641,MODALITY,adverbs,B1,N/A,FORM/USE: EMPHASIS,"Can use an increasing range of adverbs, for emphasis.","If I were you I'd certainly choose not to go with your parents. (Italy; B1 THRESHOLD; 2008; Italian; Pass)

I will certainly ring you on Friday. (France; B1 THRESHOLD; 2003; French; Pass)

Well, with the job you’ve got, you obviously can't keep fit. (Greece; B1 THRESHOLD; 2009; Greek; Pass)

For these reasons, I definitely recommend staying in a city. (Italy; B1 THRESHOLD; 2004; Italian; Pass)"
642,MODALITY,adverbs,B1,N/A,"FORM/USE: MODAL VERB + MODAL ADVERB, HEDGING OR EMPHASIS","Can use modal verb + modal adverb to modify an assertion, either through hedging or emphasis.","Next year you can surely go somewhere with your friends. (Portugal; B1 THRESHOLD; 2008; Portuguese; Pass)

You should probably bring sun block, because it's going be hot, and some food of course. (Indonesia; B1 THRESHOLD; 2009; Indonesian; Pass)

In my opinion if you decided to go to a large school in the centre of town, you would certainly meet a lot of cool people and you'd probably find it great. (Italy; B1 THRESHOLD; 2008; Italian; Pass)"
643,MODALITY,adverbs,B1,N/A,"FORM/USE, 'POSSIBLY', POLITENESS",Can use 'could' + subject + 'possibly' to make requests more polite.,"Could I possibly see you at 3.30? (Thailand; B1 THRESHOLD; 2008; Thai; Pass)

Could you possibly recommend what action should be taken? (China; B1 THRESHOLD; 2002; Chinese; Pass)"
644,MODALITY,adverbs,C1,N/A,FORM/USE: 'NOT NECESSARILY',"Can use 'not necessarily' to express a possible exception to a general perception, i.e. not in every case.","As a conclusion, I want to say that while what we wear doesn't necessarily define who we are, it does play a big part in it. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2009; Greek; Pass)

This is not necessarily the way the older generation would see it though. (Slovenia; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; Slovene; Pass) "
645,MODALITY,adverbs,C1,N/A,FORM/USE: RESPONSE TOKENS,Can use 'not necessarily' as a short response.,"Presents. Strips, bows, paper-wrapping. Thinking of Christmas? Not necessarily. (Portugal; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; Portuguese; Pass)"
646,MODALITY,adverbs,C2,N/A,"FORM/USE, RESPONSE TOKENS",Can use adverbs expressing certainty as short responses.,Do I agree with this statement? Definitely. (Russia; C2 MASTERY; 2000; Russian; Pass)
647,NOUNS,noun phrases,A1,1,FORM: DETERMINER + NOUN,Can form simple noun phrases with a limited range of determiners + singular and plural nouns. ► Nouns and noun phrases: functions,"There is also a park near my house. (A1 BREAKTHROUGH; 2009; Pashto; Pass)

My husband is a teacher. (A1 BREAKTHROUGH; 2009; Korean; Pass)

That's why I like this place. (A1 BREAKTHROUGH; 2007; Urdu; Pass)

I go to college every day. (A1 BREAKTHROUGH; 2007; Polish; Pass)"
648,NOUNS,noun phrases,A1,N/A,FORM: DETERMINER + ADJECTIVE + NOUN,Can form simple noun phrases by pre-modifying singular and plural nouns with an adjective after a determiner.,"Martin is my best friend. (A1 BREAKTHROUGH; 2006; Slovak; Pass)

We have a big garden and a small swimming pool. (A1 BREAKTHROUGH; 2009; Arabic - Other; Pass)

Her favourite colours are blue and black. (A1 BREAKTHROUGH; 2006; Hungarian; Pass)"
649,NOUNS,noun phrases,A1,N/A,FORM: ADJECTIVE + PLURAL NOUN,Can form simple noun phrases by pre-modifying plural nouns with an adjective and no determiner.,"I have new neighbours. (A1 BREAKTHROUGH; 2008; Gujarati; Pass)

They're nice people. (A1 BREAKTHROUGH; 2009; Arabic - Other; Pass)

This place has nice shops. (A1 BREAKTHROUGH; 2007; Polish; Pass)

I like reading interesting books in the Library. (A1 BREAKTHROUGH; 2007; Polish; Pass)"
650,NOUNS,noun phrases,A1,N/A,FORM: NOUN + NOUN,Can form noun phrases by pre-modifying a limited range of nouns with another noun.,"Every Friday I go swimming and play computer games. (Poland; A1 BREAKTHROUGH; 2010; Polish; Pass)

I am having a dinner party on Friday 25 December at 7 pm. (India; A1 BREAKTHROUGH; 2010; Panjabi; Pass)

Can you come to my house on Friday evening? (Iran; A1 BREAKTHROUGH; 2010; Farsi; Pass)

My girlfriend likes vegetable pasta with tomato sauce, because she is vegetarian. (A1 BREAKTHROUGH; 2006; Polish; Pass)"
651,NOUNS,noun phrases,A2,N/A,FORM: DETERMINER + UNCOUNTABLE NOUN,Can form simple noun phrases with a limited range of determiners + uncountable nouns.,"The food was delicious and the music was great. (Turkey; A2 WAYSTAGE; 1999; Turkish; Pass)

The weather was so cold. (Philippines; A2 WAYSTAGE; 2009; Chinese; Pass)

I phoned for more information two days ago. (Italy; A2 WAYSTAGE; 2006; Italian; Pass)

[talking about a book] It is very important because I need to do some homework in it. (India; A2 WAYSTAGE; 2005; Marathi; Pass)"
652,NOUNS,noun phrases,A2,2,FORM: DETERMINER + NOUN,Can form simple noun phrases by pre-modifying nouns with an increasing range of determiners.,"There are so many shops, you can play games, eat food like Chinese food. (China; A2 WAYSTAGE; 2001; Chinese; Pass)

I had so much fun! (Italy; A2 WAYSTAGE; 2008; Italian; Pass)

I spent too much money, five hundred euros, but I don’t mind because they are beautiful! (Italy; A2 WAYSTAGE; 2008; Italian; Pass)

I visited a lot of museums and I went shopping. (Argentina; A2 WAYSTAGE; 2009; Spanish - Latin American; Pass)

All of our classmates were there and some of my cousins too. (Malaysia; A2 WAYSTAGE; 2004; Chinese; Pass)"
653,NOUNS,noun phrases,A2,1,FORM: NOUN PHRASES WITH ADJECTIVES,Can pre-modify noun phrases with a limited range of more than one adjective.,"I bought a beautiful pink skirt and a white top. (Italy; A2 WAYSTAGE; 2008; Italian; Pass)

Lysiane is taller than me and she has short black hair. (A2 WAYSTAGE; 2010; Portuguese; Pass)

It is a beautiful old city and there is the old wall around the city. (Latvia; A2 WAYSTAGE; 1999; Russian; Pass)

I left my small white bag. (Argentina; A2 WAYSTAGE; 2005; Spanish - Latin American; Pass)

Don't forget to wear old, comfortable clothes. (Peru; A2 WAYSTAGE; 2006; Spanish - Latin American; Pass)"
654,NOUNS,noun phrases,A2,N/A,FORM: WITH RELATIVE CLAUSE AS POSTMODIFIER,Can post-modify noun phrases by using a non-defining relative clause. ► Clauses: relative,"She's in a volleyball team like me, but we're not in the same one. She was for the other team, which lost. (Switzerland; A2 WAYSTAGE; 2007; Swiss German; Pass)

You can always visit our Shopping Centre, which is one of the biggest in Brazil. (Brazil; A2 WAYSTAGE; 2001; Portuguese; Pass)
"
655,NOUNS,noun phrases,A2,N/A,FORM: WITH RELATIVE CLAUSE AS COMPLEMENT,Can form complex noun phrases by using a defining relative clause as a complement to a noun phrase. ► Clauses: relative,"The mobile phone which I bought yesterday is brilliant. (Russia; A2 WAYSTAGE; 2007; Russian; Pass)

The person who gave me it was my father. (Portugal; A2 WAYSTAGE; 2004; Portuguese; Pass)

The last day when we can see the movie is Thursday. (Romania; A2 WAYSTAGE; 2003; Romanian; Pass)

I want to invite you to a pop concert that is going to take place in the National Stadium. (Peru; A2 WAYSTAGE; 2009; Spanish - Latin American; Pass)

The music that I like is Rock &amp; Roll. (Russia; A2 WAYSTAGE; 2005; Russian; Pass)"
656,NOUNS,noun phrases,A2,N/A,FORM: POSSESSION WITH ''S' + NOUN,Can use possessive determiner ''s' with a singular noun.,"It's my sister's jacket. (Uruguay; A2 WAYSTAGE; 2005; Spanish - Latin American; Pass)

I bought a red tie because next Sunday it will be my father's birthday. (Italy; A2 WAYSTAGE; 2008; Italian; Pass)

Yesterday about 8 pm, when I was coming back home from a shop, I saw two men near my neighbour's car. (B1 THRESHOLD; 2007; Slovak; Pass)"
657,NOUNS,noun phrases,B1,2,FORM: COMPLEX NOUN PHRASES WITH ADJECTIVES,Can form an increasing range of complex noun phrases with more than one adjective.,"The Northeast is so beautiful and it's famous because of its white sandy beaches and the coconut trees. (Brazil; B1 THRESHOLD; 2004; Portuguese; Pass)

Last weekend I went to São Paulo to buy some winter clothes. I bought a white hooded jacket, a blue jumper, black gloves and a beautiful blue scarf. (Brazil; B1 THRESHOLD; 2010; Portuguese; Pass)

Inside there were three samples of a nasty purple liquid. (Peru; B1 THRESHOLD; 2006; Spanish - Latin American; Pass)

I know your company are offering an exciting new service in our area. (China; B1 THRESHOLD; 2007; Chinese; Pass)

He had beautiful green eyes, short, curly, red hair and he was wearing an elegant black suit with a red tie. (Mexico; B1 THRESHOLD; 2006; Spanish - Latin American; Pass)

You can walk along the streets and eat typical Spanish food in good restaurants. (Spain; B1 THRESHOLD; 2004; Spanish - European; Pass)"
658,NOUNS,noun phrases,B1,N/A,FORM: COMPLEX NOUN PHRASES WITH ADVERBS + ADJECTIVES,Can form complex noun phrases with adverb + adjective + noun.,"It took us a very long time but it was a great fun! (Poland; B1 THRESHOLD; 2009; Polish; Pass)

They made really good friends. (Argentina; B1 THRESHOLD; 2008; Spanish - Latin American; Pass)"
