No.,级别,词语,拼音,词性
8346,一级,忘,wàng,动
8347,高等,忘不了,wàng bu liǎo,
8348,高等,忘掉,wàng∥diào,
8349,一级,忘记,wàngjì,动
8350,高等,旺,wàng,形
8351,高等,旺季,wàngjì,名
8352,高等,旺盛,wàngshèng,形
8353,高等,望,wàng,动
8354,六级,望见,wàng·jiàn,
8355,高等,望远镜,wàngyuǎnjìng,名
8356,三级,危害,wēihài,动、名
8357,六级,危机,wēijī,名
8358,高等,危及,wēijí,动
8359,高等,危急,wēijí,形
8360,三级,危险,wēixiǎn,形、名
8361,高等,威风,wēifēng,名、形
8362,高等,威力,wēilì,名
8363,高等,威慑,wēishè,动
8364,六级,威胁,wēixié,动
8365,高等,威信,wēixìn,名
8366,六级,微波炉,wēibōlú,名
8367,五级,微博,wēibó,名
8368,高等,微不足道,wēibùzúdào,
8369,高等,微观,wēiguān,形
8370,高等,微妙,wēimiào,形
8371,高等,微弱,wēiruò,形
8372,四级,微笑,wēixiào,动
8373,四级,微信,wēixìn,名
8374,高等,为,wēixíng,形
8375,三级,为,wéi,动
8376,三级,为（介）,wéi,介
8377,五级,为难,wéinán,形、动
8378,五级,为期,wéiqī,动
8379,高等,为人,wéirén,动、名
8380,五级,为止,wéizhǐ,动
8381,五级,为主,wéizhǔ,动
8382,高等,违背,wéibèi,动
8383,五级,违法,wéi∥fǎ,
8384,五级,违反,wéifǎn,动
8385,五级,违规,wéi∥guī,
8386,高等,违约,wéi∥yuē,
8387,高等,违章,wéi∥zhāng,
8388,三级,围,wéi,动
8389,四级,围巾,wéijīn,名
8390,高等,围墙,wéiqiáng,名
8391,五级,围绕,wéirào,动
8392,高等,唯,wéi,副
8393,高等,唯独,wéidú,副
8394,五级,唯一,wéiyī,形
8395,四级,维持,wéichí,动
8396,四级,维护,wéihù,动
8397,六级,维生素,wéishēngsù,名
8398,四级,维修,wéixiū,动
8399,三级,伟大,wěidà,形
8400,高等,伪造,wěizào,动
8401,高等,伪装,wěizhuāng,动、名
8402,四级,尾巴,wěiba,名
8403,高等,尾气,wěiqì,名
8404,高等,尾声,wěishēng,名
8405,高等,纬度,wěidù,名
8406,高等,委屈,wěiqu,形、动
8407,五级,委托,wěituō,动
8408,高等,委婉,wěiwǎn,形
8409,高等,委员,wěiyuán,名
8410,高等,委员会,wěiyuánhuì,名
8411,高等,萎缩,wěisuō,动
8412,三级,卫生,wèishēng,形、名
8413,三级,卫生间,wèishēngjiān,名
8414,高等,卫视,wèishì,名
8415,五级,卫星,wèixīng,名
8416,二级,为,wèi,介
8417,六级,为此,wèicǐ,连
8418,六级,为何,wèihé,副
8419,三级,为了,wèile,介
8420,二级,为什么,wèi shénme,
8421,高等,未,wèi,副
8422,四级,未必,wèibì,副
8423,高等,未成年人,wèichéngniánrén,名
8424,高等,未经,wèijīng,动
8425,四级,未来,wèilái,名
8426,高等,未免,wèimiǎn,副
8427,高等,未知数,wèizhīshù,名
8428,二级,位,wèi,量
8429,四级,位于,wèiyú,动
8430,四级,位置,wèi·zhì,名
8431,高等,位子,wèizi,名
8432,二级,味道,wèi·dào,名
8433,高等,味精,wèijīng,名
8434,四级,味儿,wèir,名
8435,高等,畏惧,wèijù,动
8436,高等,畏缩,wèisuō,动
8437,五级,胃,wèi,名
8438,高等,喂,wèikǒu,名
8439,二级,喂,wèi,叹
8440,四级,喂（动）,wèi,动
8441,高等,喂养,wèiyǎng,动
8442,高等,慰劳,wèiláo,动
8443,五级,慰问,wèiwèn,动
8444,二级,温度,wēndù,名
8445,高等,温度计,wēndùjì,名
8446,五级,温和,wēnhé,形
8447,三级,温暖,wēnnuǎn,形、动
8448,高等,温泉,wēnquán,名
8449,高等,温柔,wēnróu,形
8450,高等,温室,wēnshì,名
8451,高等,温习,wēnxí,动
8452,高等,温馨,wēnxīn,形
8453,高等,瘟疫,wēnyì,名
8454,高等,文,wén,名
8455,三级,文化,wénhuà,名
8456,三级,文件,wénjiàn,名
8457,高等,文具,wénjù,名
8458,高等,文科,wénkē,名
8459,高等,文盲,wénmáng,名
8460,三级,文明,wénmíng,名、形
8461,高等,文凭,wénpíng,名
8462,高等,文人,wénrén,名
8463,高等,文物,wénwù,名
8464,高等,文献,wénxiàn,名
8465,三级,文学,wénxué,名
8466,高等,文雅,wényǎ,形
8467,五级,文艺,wényì,名
8468,六级,文娱,wényú,名
8469,三级,文章,wénzhāng,名
8470,三级,文字,wénzì,名
8471,二级,闻,wén,动
8472,高等,闻名,wénmíng,动
8473,高等,蚊帐,wénzhàng,名
8474,高等,蚊子,wénzi,名
8475,高等,吻,wěn,名、动
8476,高等,吻合,wěnhé,形
8477,高等,紊乱,wěnluàn,形
8478,四级,稳,wěn,形
8479,四级,稳定,wěndìng,形
8480,高等,稳固,wěngù,形、动
8481,高等,稳健,wěnjiàn,形
8482,高等,稳妥,wěntuǒ,形
8483,高等,稳重,wěnzhòng,形
8484,一级,问,wèn,动
8485,四级,问候,wènhòu,动
8486,高等,问卷,wènjuàn,名
8487,二级,问路,wènlù,动
8488,高等,问世,wènshì,动
8489,二级,问题,wèntí,名
8490,高等,窝,wō,名
8491,一级,我,wǒ,代
8492,一级,我们,wǒmen,代
8493,高等,卧,wò,动
8494,六级,卧铺,wòpù,名
8495,五级,卧室,wòshì,名
8496,五级,握,wò,动
8497,三级,握手,wò∥shǒu,
8498,六级,乌云,wūyún,名
8499,高等,污秽,wūhuì,形、名
8500,五级,污染,wūrǎn,动
8501,五级,污水,wūshuǐ,名
8502,高等,巫婆,wūpó,名
8503,高等,呜咽,wūyè,动
8504,五级,屋,wū,名
8505,高等,屋顶,wūdǐng,名
8506,三级,屋子,wūzi,名
8507,四级,无,wú,动
8508,高等,无比,wúbǐ,动
8509,六级,无边,wúbiān,动
8510,高等,无不,wúbù,副
8511,高等,无偿,wúcháng,形
8512,高等,无敌,wúdí,动
8513,高等,无恶不作,wú’è-búzuò,
8514,四级,无法,wúfǎ,动
8515,高等,无非,wúfēi,副
8516,高等,无辜,wúgū,形、名
8517,高等,无故,wúgù,副
8518,六级,无关,wúguān,动
8519,高等,无关紧要,wúguān-jǐnyào,
8520,高等,无话可说,wúhuà-kěshuō,
8521,高等,无济于事,wújìyúshì,
8522,高等,无家可归,wújiā-kěguī,
8523,高等,无精打采,wújīng-dǎcǎi,
8524,高等,无可奉告,wúkěfènggào,
8525,高等,无可厚非,wúkěhòufēi,
8526,高等,无可奈何,wúkěnàihé,
8527,高等,无理,wúlǐ,动
8528,高等,无力,wúlì,动
8529,四级,无聊,wúliáo,形
8530,四级,无论,wúlùn,连
8531,高等,无论如何,wúlùn-rúhé,
8532,五级,无奈,wúnài,动、连
8533,高等,无能,wúnéng,形
8534,高等,无能为力,wúnéngwéilì,
8535,高等,无情,wúqíng,形
8536,高等,无情无义,wúqíng-wúyì,
8537,高等,无穷,wúqióng,动
8538,四级,无数,wúshù,形
8539,高等,无私,wúsī,形
8540,高等,无所事事,wúsuǒshìshì,
8541,四级,无所谓,wúsuǒwèi,动
8542,高等,无所作为,wúsuǒzuòwéi,
8543,高等,无条件,wútiáojiàn,动
8544,高等,无微不至,wúwēi-búzhì,
8545,四级,无限,wúxiàn,形
8546,高等,无线,wúxiàn,形
8547,高等,无线电,wúxiàndiàn,名
8548,六级,无效,wúxiào,动
8549,高等,无形,wúxíng,形
8550,高等,无形中,wúxíngzhōng,副
8551,高等,无须,wúxū,副
8552,五级,无疑,wúyí,动
8553,高等,无意,wúyì,动、副
8554,高等,无忧无虑,wúyōu-wúlǜ,
8555,高等,无缘,wúyuán,动、副
8556,高等,无知,wúzhī,形
8557,高等,无足轻重,wúzú-qīngzhòng,
8558,一级,五,wǔ,数
8559,高等,五花八门,wǔhuā-bāmén,
8560,高等,五星级,wǔxīngjí,形
8561,四级,五颜六色,wǔyán-liùsè,
8562,二级,午餐,wǔcān,名
8563,一级,午饭,wǔfàn,名
8564,二级,午睡,wǔshuì,名、动
8565,高等,武力,wǔlì,名
8566,三级,武器,wǔqì,名
8567,三级,武术,wǔshù,名
8568,高等,武装,wǔzhuāng,名、动
8569,高等,侮辱,wǔrǔ,动
8570,高等,捂,wǔ,动
8571,五级,舞,wǔ,名、动
8572,六级,舞蹈,wǔdǎo,名
8573,三级,舞台,wǔtái,名
8574,高等,舞厅,wǔtīng,名
8575,高等,勿,wù,副
8576,高等,务必,wùbì,副
8577,高等,务实,wùshí,形
8578,五级,物价,wùjià,名
8579,高等,物流,wùliú,名
8580,六级,物品,wùpǐn,名
8581,高等,物体,wùtǐ,名
8582,五级,物业,wùyè,名
8583,高等,物证,wùzhèng,名
8584,五级,物质,wùzhì,名
8585,高等,物资,wùzī,名
8586,六级,误,wù,动
8587,高等,误差,wùchā,名
8588,高等,误导,wùdǎo,动
8589,四级,误会,wùhuì,动、名
8590,五级,误解,wùjiě,动、名
8591,高等,误区,wùqū,名
8592,高等,雾,wù,名
8593,一级,西,xī,名
8594,六级,西班牙语,Xībānyáyǔ,名
8595,二级,西北,xīběi,名
8596,一级,西边,xībian,名
8597,三级,西部,xībù,名
8598,二级,西餐,xīcān,名
8599,二级,西方,xīfāng,名
8600,四级,西瓜,xī·guā,名
8601,五级,西红柿,xīhóngshì,名
8602,二级,西南,xīnán,名
8603,二级,西医,xīyī,名
8604,五级,西装,xīzhuāng,名
8605,四级,吸,xī,动
8606,六级,吸毒,xī∥dú,
8607,四级,吸管,xīguǎn,名
8608,高等,吸纳,xīnà,动
8609,高等,吸取,xīqǔ,动
8610,四级,吸收,xīshōu,动
8611,四级,吸烟,xīyān,动
8612,四级,吸引,xīyǐn,动
8613,三级,希望,xīwàng,动、名
8614,高等,昔日,xīrì,名
8615,六级,牺牲,xīshēng,动、名
8616,高等,息息相关,xīxī-xiāngguān,
8617,高等,稀,xī,形
8618,高等,稀罕,xīhan,形、动
8619,高等,稀奇,xīqí,形
8620,高等,稀少,xīshǎo,形
8621,高等,锡,xī,名
8622,高等,熙熙攘攘,xīxī-rǎngrǎng,形
8623,高等,熄火,xī∥huǒ,
8624,高等,膝盖,xīgài,名
8625,高等,嬉笑,xīxiào,动
8626,二级,习惯,xíguàn,名、动
8627,高等,习俗,xísú,名
8628,高等,席,xí,名
8629,高等,席位,xíwèi,名
8630,高等,袭击,xíjī,动
8631,高等,媳妇,xífu,名
8632,一级,洗,xǐ,动
8633,高等,洗涤剂,xǐdíjì,名
8634,高等,洗礼,xǐlǐ,名
8635,一级,洗手间,xǐshǒujiān,名
8636,六级,洗衣粉,xǐyīfěn,名
8637,二级,洗衣机,xǐyījī,名
8638,二级,洗澡,xǐ∥zǎo,
8639,四级,喜爱,xǐ’ài,动
8640,高等,喜出望外,xǐchūwàngwài,
8641,高等,喜好,xǐhào,动、名
8642,一级,喜欢,xǐhuan,动
8643,高等,喜酒,xǐjiǔ,名
8644,五级,喜剧,xǐjù,名
8645,高等,喜怒哀乐,xǐ-nù-āi-lè,
8646,高等,喜庆,xǐqìng,形、名
8647,高等,喜事,xǐshì,名
8648,高等,喜糖,xǐtáng,名
8649,高等,喜洋洋,xǐyángyáng,形
8650,高等,喜悦,xǐyuè,形
8651,五级,戏,xì,名
8652,五级,戏剧,xìjù,名
8653,六级,戏曲,xìqǔ,名
8654,三级,系,xì,名
8655,四级,系列,xìliè,名
8656,四级,系统,xìtǒng,名、形
8657,四级,细,xì,形
8658,六级,细胞,xìbāo,名
8659,四级,细节,xìjié,名
8660,六级,细菌,xìjūn,名
8661,高等,细腻,xìnì,形
8662,高等,细微,xìwēi,形
8663,高等,细心,xìxīn,形
8664,四级,细致,xìzhì,形
8665,高等,虾,xiā,名
8666,高等,瞎,xiā,动、副
8667,高等,侠义,xiáyì,形
8668,高等,峡谷,xiágǔ,名
8669,高等,狭隘,xiá’ài,形
8670,高等,狭小,xiáxiǎo,形
8671,高等,下,xiázhǎi,形
8672,一级,下,xià,名、动
8673,二级,下（量）,xià,量
8674,一级,下班,xià∥bān,
8675,一级,下边,xiàbian,名
8676,高等,下场,xiàchǎng,名
8677,一级,下车,xià chē,
8678,一级,下次,xià cì,
8679,高等,下跌,xiàdiē,动
8680,高等,下岗,xià∥gǎng,
8681,四级,下个月,xià ge yuè,
8682,高等,下功夫,xià gōngfu,
8683,高等,下海,xià∥hǎi,
8684,高等,下级,xiàjí,名
8685,四级,下降,xiàjiàng,动
8686,高等,下决心,xià juéxīn,
8687,一级,下课,xià∥kè,
8688,三级,下来,xià∥·lái,
8689,高等,下令,xià∥lìng,
8690,四级,下楼,xià lóu,
8691,高等,下落,xiàluò,名
8692,三级,下面,xiàmiàn,名
8693,高等,下期,xià qī,
8694,高等,下棋,xià∥qí,
8695,三级,下去,xià∥·qù,
8696,高等,下山,xià∥shān,
8697,高等,下手,xià∥shǒu,
8698,高等,下属,xiàshǔ,名
8699,高等,下台,xià∥tái,
8700,高等,下调,xiàtiáo,动
8701,一级,下午,xiàwǔ,名
8702,高等,下乡,xià∥xiāng,
8703,二级,下雪,xià xuě,
8704,高等,下旬,xiàxún,名
8705,高等,下一代,xià yí dài,
8706,高等,下意识,xiàyì·shí,名、副
8707,高等,下游,xiàyóu,名
8708,一级,下雨,xià yǔ,
8709,四级,下载,xiàzài,动
8710,二级,下周,xià zhōu,
8711,高等,下坠,xiàzhuì,动
8712,五级,吓,xià,动
8713,高等,吓唬,xiàhu,动
8714,高等,吓人,xià∥rén,
8715,四级,夏季,xiàjì,名
8716,高等,夏令营,xiàlìngyíng,名
8717,二级,夏天,xiàtiān,名
8718,高等,仙鹤,xiānhè,名
8719,高等,仙女,xiānnǚ,名
8720,一级,先,xiān,副
8721,六级,先锋,xiānfēng,名
8722,五级,先后,xiānhòu,名、副
8723,三级,先进,xiānjìn,形、名
8724,高等,先例,xiānlì,名
8725,五级,先前,xiānqián,名
8726,一级,先生,xiānsheng,名
8727,高等,先天,xiāntiān,名
8728,高等,纤维,xiānwéi,名
8729,高等,掀,xiān,动
8730,高等,掀起,xiānqǐ,动
8731,四级,鲜,xiān,形
8732,四级,鲜花,xiānhuā,名
8733,高等,鲜活,xiānhuó,形
8734,高等,鲜美,xiānměi,形
8735,四级,鲜明,xiānmíng,形
8736,高等,鲜血,xiānxuè,名
8737,五级,鲜艳,xiānyàn,形
8738,五级,闲,xián,形
8739,高等,弦,xián,名
8740,四级,咸,xián,形
8741,高等,衔接,xiánjiē,动
8742,六级,嫌,xián,动
8743,高等,嫌弃,xiánqì,动
8744,高等,嫌疑,xiányí,名
8745,五级,显,xiǎn,动
8746,六级,显出,xiǎnchū,
8747,三级,显得,xiǎnde,动
8748,高等,显而易见,xiǎn’éryìjiàn,
8749,高等,显赫,xiǎnhè,形
8750,三级,显然,xiǎnrán,形
8751,三级,显示,xiǎnshì,动
8752,高等,显示器,xiǎnshìqì,名
8753,高等,显现,xiǎnxiàn,动
8754,高等,显眼,xiǎnyǎn,形
8755,四级,显著,xiǎnzhù,形
8756,六级,险,xiǎn,形
8757,四级,县,xiàn,名
8758,三级,现场,xiànchǎng,名
8759,高等,现成,xiànchéng,形
8760,三级,现代,xiàndài,名
8761,三级,现金,xiànjīn,名
8762,高等,现任,xiànrèn,动、形
8763,三级,现实,xiànshí,名
8764,三级,现象,xiànxiàng,名
8765,高等,现行,xiànxíng,形
8766,五级,现有,xiànyǒu,
8767,一级,现在,xiànzài,名
8768,五级,现状,xiànzhuàng,名
8769,高等,限,xiàn,动
8770,高等,限定,xiàndìng,动
8771,高等,限度,xiàndù,名
8772,高等,限于,xiànyú,动
8773,四级,限制,xiànzhì,动、名
8774,三级,线,xiàn,名
8775,六级,线路,xiànlù,名
8776,五级,线索,xiànsuǒ,名
8777,高等,线条,xiàntiáo,名
8778,高等,宪法,xiànfǎ,名
8779,高等,陷,xiàn,动
8780,高等,陷阱,xiànjǐng,名
8781,六级,陷入,xiànrù,动
8782,高等,馅儿,xiànr,名
8783,高等,羡慕,xiànmù,动
8784,五级,献,xiàn,动
8785,高等,献血,xiànxiě,动
8786,高等,腺,xiàn,名
8787,五级,乡,xiāng,名
8788,五级,乡村,xiāngcūn,名
8789,高等,乡亲,xiāngqīn,名
8790,高等,乡下,xiāngxia,名
8791,高等,相伴,xiāngbàn,动
8792,三级,相比,xiāngbǐ,动
8793,高等,相比之下,xiāngbǐ zhī xià,
8794,高等,相差,xiāngchà,动
8795,四级,相处,xiāngchǔ,动
8796,高等,相传,xiāngchuán,动
8797,三级,相当,xiāngdāng,副、动
8798,高等,相当于,xiāngdāngyú,动
8799,五级,相等,xiāngděng,动
8800,高等,相对,xiāngduì,动、形
8801,高等,相对而言,xiāngduì-éryán,
8802,四级,相反,xiāngfǎn,形、连
8803,高等,相辅相成,xiāngfǔ-xiāngchéng,
8804,三级,相关,xiāngguān,动
8805,三级,相互,xiānghù,副
8806,高等,相继,xiāngjì,副
8807,高等,相连,xiānglián,动
8808,高等,相识,xiāngshí,动
8809,三级,相似,xiāngsì,形
8810,高等,相提并论,xiāngtí-bìnglùn,
8811,高等,相通,xiāngtōng,动
8812,二级,相同,xiāngtóng,形
8813,二级,相信,xiāngxìn,动
8814,高等,相依为命,xiāngyī-wéimìng,
8815,五级,相应,xiāngyìng,动
8816,高等,相遇,xiāngyù,动
8817,高等,相约,xiāngyuē,动
8818,三级,香,xiāng,形
8819,五级,香肠,xiāngcháng,名
8820,三级,香蕉,xiāngjiāo,名
8821,高等,香料,xiāngliào,名
8822,高等,香水,xiāngshuǐ,名
8823,高等,香味,xiāngwèi,名
8824,高等,香烟,xiāngyān,名
8825,高等,香油,xiāngyóu,名
8826,四级,箱,xiāng,量
8827,四级,箱子,xiāngzi,名
8828,高等,镶,xiāng,动
8829,高等,镶嵌,xiāngqiàn,动
8830,高等,详尽,xiángjìn,形
8831,五级,详细,xiángxì,形
8832,高等,祥和,xiánghé,形
8833,高等,享,xiǎng,动
8834,五级,享受,xiǎngshòu,动、名
8835,高等,享有,xiǎngyǒu,动
8836,二级,响,xiǎng,形
8837,高等,响亮,xiǎngliàng,形
8838,高等,响起,xiǎngqǐ,
8839,六级,响声,xiǎngshēng,名
8840,高等,响应,xiǎngyìng,动
8841,一级,想,xiǎng,动
8842,六级,想不到,xiǎngbudào,动
8843,二级,想到,xiǎngdào,
8844,二级,想法,xiǎng·fǎ,名
8845,高等,想方设法,xiǎngfāng-shèfǎ,
8846,四级,想念,xiǎngniàn,动
8847,二级,想起,xiǎngqǐ,
8848,四级,想象,xiǎngxiàng,名、动
8849,二级,向,xiàng,介、动
8850,五级,向导,xiàngdǎo,名
8851,高等,向来,xiànglái,副
8852,五级,向前,xiàng qián,
8853,五级,向上,xiàngshàng,动
8854,高等,向往,xiàngwǎng,动
8855,高等,向着,xiàngzhe,动
8856,四级,项,xiàng,量
8857,高等,项链,xiàngliàn,名
8858,四级,项目,xiàngmù,名
8859,二级,相机,xiàngjī,名
8860,四级,相片,xiàngpiàn,名
8861,五级,相声,xiàngsheng,名
8862,五级,像,xiàngzhēng,动、名
8863,二级,像,xiàng,动
8864,高等,像（名）,xiàng,名
8865,高等,像样,xiàng∥yàng,
8866,高等,橡胶,xiàngjiāo,名
8867,高等,橡皮,xiàngpí,名
8868,高等,削,xiāo,动
8869,高等,消,xiāo,动
8870,高等,消沉,xiāochén,形
8871,五级,消除,xiāochú,动
8872,五级,消毒,xiāo∥dú,
8873,五级,消防,xiāofáng,动
8874,三级,消费,xiāofèi,动
8875,五级,消费者,xiāofèizhě,名
8876,六级,消耗,xiāohào,动、名
8877,四级,消化,xiāohuà,动
8878,五级,消极,xiāojí,形
8879,六级,消灭,xiāomiè,动
8880,高等,消遣,xiāoqiǎn,动
8881,三级,消失,xiāoshī,动
8882,三级,消息,xiāoxi,名
8883,高等,萧条,xiāotiáo,形
8884,高等,销,xiāo,动
8885,高等,销毁,xiāohuǐ,动
8886,高等,销量,xiāoliàng,名
8887,四级,销售,xiāoshòu,动
8888,高等,潇洒,xiāosǎ,形
8889,一级,小,xiǎo,形
8890,二级,小（小王）,xiǎo (Xiǎo Wáng),前缀
8891,四级,小吃,xiǎochī,名
8892,高等,小丑,xiǎochǒu,名
8893,高等,小贩,xiǎofàn,名
8894,六级,小费,xiǎofèi,名
8895,一级,小孩儿,xiǎoháir,名
8896,四级,小伙子,xiǎohuǒzi,名
8897,一级,小姐,xiǎojiě,名
8898,高等,小看,xiǎokàn,动
8899,高等,小康,xiǎokāng,形
8900,高等,小路,xiǎolù,名
8901,六级,小麦,xiǎomài,名
8902,一级,小朋友,xiǎopéngyǒu,名
8903,高等,小品,xiǎopǐn,名
8904,高等,小气,xiǎoqi,形
8905,高等,小区,xiǎoqū,名
8906,高等,小曲,xiǎoqǔ,名
8907,高等,小人,xiǎorén,名
8908,二级,小声,xiǎo shēng,
8909,一级,小时,xiǎoshí,名
8910,二级,小时候,xiǎoshíhou,名
8911,二级,小说,xiǎoshuō,名
8912,高等,小提琴,xiǎotíqín,名
8913,五级,小偷儿,xiǎotōur,名
8914,高等,小溪,xiǎoxī,名
8915,二级,小心,xiǎoxīn,形、动
8916,高等,小心翼翼,xiǎoxīn-yìyì,
8917,四级,小型,xiǎoxíng,形
8918,一级,小学,xiǎoxué,名
8919,一级,小学生,xiǎoxuéshēng,名
8920,六级,小于,xiǎoyú,动
8921,高等,小卒,xiǎozú,名
8922,二级,小组,xiǎozǔ,名
8923,六级,晓得,xiǎode,动
8924,高等,孝敬,xiàojìng,动
8925,高等,孝顺,xiào·shùn,动
8926,高等,肖像,xiàoxiàng,名
8927,二级,校园,xiàoyuán,名
8928,二级,校长,xiàozhǎng,名
8929,一级,笑,xiào,动
8930,二级,笑话,xiàohua,动
8931,二级,笑话儿,xiàohuar,名
8932,六级,笑脸,xiàoliǎn,名
8933,六级,笑容,xiàoróng,名
8934,六级,笑声,xiàoshēng,名
8935,高等,效仿,xiàofǎng,动
8936,三级,效果,xiàoguǒ,名
8937,高等,效力,xiàolì,名
8938,四级,效率,xiàolǜ,名
8939,高等,效益,xiàoyì,名
8940,高等,效应,xiàoyìng,名
8941,四级,些,xiē,量
8942,五级,歇,xiē,动
8943,高等,协定,xiédìng,名、动
8944,六级,协会,xiéhuì,名
8945,六级,协商,xiéshāng,动
8946,六级,协调,xiétiáo,动、形
8947,高等,协同,xiétóng,动
8948,五级,协议,xiéyì,动、名
8949,五级,协议书,xiéyìshū,名
8950,六级,协助,xiézhù,动
8951,高等,协作,xiézuò,动
8952,高等,邪,xié,形
8953,高等,邪恶,xié’è,形
8954,高等,挟持,xiéchí,动
8955,五级,斜,xié,形
8956,高等,携带,xiédài,动
8957,高等,携手,xiéshǒu,动
8958,二级,鞋,xié,名
8959,一级,写,xiě,动
8960,高等,写照,xiězhào,动、名
8961,六级,写字楼,xiězìlóu,名
8962,六级,写字台,xiězìtái,名
8963,三级,写作,xiězuò,动
8964,三级,血,xiě,名
8965,高等,泄,xiè,动
8966,高等,泄漏,xièlòu,动
8967,高等,泄露,xièlòu,动
8968,高等,泄密,xiè∥mì,
8969,高等,泄气,xiè∥qì,
8970,高等,泻,xiè,动
8971,高等,卸,xiè,动
8972,一级,谢谢,xièxie,动
8973,三级,心,xīn,名
8974,高等,心爱,xīn’ài,形
8975,高等,心安理得,xīn’ān-lǐdé,
8976,高等,心病,xīnbìng,名
8977,高等,心肠,xīncháng,名
8978,高等,心得,xīndé,名
8979,高等,心慌,xīn∥huāng,
8980,高等,心急如焚,xīnjí-rúfén,
8981,二级,心里,xīn·lǐ,名
8982,高等,心里话,xīnlǐhuà,名
8983,四级,心理,xīnlǐ,名
8984,六级,心灵,xīnlíng,名
8985,高等,心灵手巧,xīnlíng-shǒuqiǎo,
8986,高等,心目,xīnmù,名
8987,二级,心情,xīnqíng,名
8988,高等,心声,xīnshēng,名
8989,高等,心事,xīnshì,名
8990,高等,心思,xīnsi,名
8991,高等,心酸,xīn∥suān,
8992,五级,心态,xīntài,名
8993,五级,心疼,xīnténg,动
8994,高等,心想事成,xīnxiǎng-shìchéng,
8995,高等,心胸,xīnxiōng,名
8996,高等,心血,xīnxuè,名
8997,高等,心眼儿,xīnyǎnr,名
8998,高等,心意,xīnyì,名
8999,六级,心愿,xīnyuàn,名
9000,六级,心脏,xīnzàng,名
9001,六级,心脏病,xīnzàngbìng,名
9002,二级,心中,xīnzhōng,名
9003,高等,芯片,xīnpiàn,名
9004,五级,辛苦,xīnkǔ,形、动
9005,高等,辛勤,xīnqín,形
9006,高等,辛酸,xīnsuān,形
9007,五级,欣赏,xīnshǎng,动
9008,高等,欣慰,xīnwèi,形
9009,高等,欣喜,xīnxǐ,形
9010,高等,欣欣向荣,xīnxīn-xiàngróng,
9011,一级,新,xīn,形
9012,高等,新潮,xīncháo,名、形
9013,高等,新陈代谢,xīnchén-dàixiè,
9014,高等,新房,xīnfáng,名
9015,高等,新款,xīnkuǎn,名
9016,四级,新郎,xīnláng,名
9017,一级,新年,xīnnián,名
9018,四级,新娘,xīnniáng,名
9019,高等,新奇,xīnqí,形
9020,六级,新人,xīnrén,名
9021,高等,新生,xīnshēng,形、名
9022,高等,新式,xīnshì,形
9023,高等,新手,xīnshǒu,名
9024,二级,新闻,xīnwén,名
9025,四级,新鲜,xīn·xiān,形
9026,六级,新兴,xīnxīng,形
9027,四级,新型,xīnxíng,形
9028,高等,新颖,xīnyǐng,形
9029,六级,薪水,xīnshui,名
9030,二级,信,xìn,名
9031,三级,信（动）,xìn,动
9032,高等,信贷,xìndài,名
9033,三级,信封,xìnfēng,名
9034,二级,信号,xìnhào,名
9035,高等,信件,xìnjiàn,名
9036,高等,信赖,xìnlài,动
9037,五级,信念,xìnniàn,名
9038,三级,信任,xìnrèn,动
9039,二级,信息,xìnxī,名
9040,五级,信箱,xìnxiāng,名
9041,二级,信心,xìnxīn,名
9042,六级,信仰,xìnyǎng,动
9043,六级,信用,xìnyòng,名
9044,二级,信用卡,xìnyòngkǎ,名
9045,高等,信誉,xìnyù,名
9046,四级,兴奋,xīngfèn,形
9047,高等,兴奋剂,xīngfènjì,名
9048,高等,兴建,xīngjiàn,动
9049,高等,兴起,xīngqǐ,动
9050,六级,兴旺,xīngwàng,形
9051,一级,星期,xīngqī,名
9052,一级,星期日,xīngqīrì,名
9053,一级,星期天,xīngqītiān,名
9054,二级,星星,xīngxing,名
9055,高等,星座,xīngzuò,名
9056,高等,猩猩,xīngxing,名
9057,高等,腥,xīng,形
9058,高等,刑法,xíngfǎ,名
9059,一级,行,xíng,动、形
9060,六级,行程,xíngchéng,名
9061,二级,行动,xíngdòng,动、名
9062,三级,行李,xíngli,名
9063,二级,行人,xíngrén,名
9064,高等,行使,xíngshǐ,动
9065,五级,行驶,xíngshǐ,动
9066,二级,行为,xíngwéi,名
9067,高等,行政,xíngzhèng,名
9068,高等,行走,xíngzǒu,动
9069,六级,形,xíng,名
9070,三级,形成,xíngchéng,动
9071,四级,形容,xíngróng,动
9072,三级,形式,xíngshì,名
9073,四级,形势,xíngshì,名
9074,五级,形态,xíngtài,名
9075,三级,形象,xíngxiàng,名、形
9076,高等,形形色色,xíngxíngsèsè,形
9077,高等,形影不离,xíngyǐng-bùlí,
9078,三级,形状,xíngzhuàng,名
9079,四级,型,xíng,名
9080,四级,型号,xínghào,名
9081,四级,醒,xǐng,动
9082,高等,醒来,xǐnglai,
9083,高等,醒目,xǐngmù,形
9084,高等,醒悟,xǐngwù,动
9085,高等,兴高采烈,xìnggāo-cǎiliè,
9086,四级,兴趣,xìngqù,名
9087,高等,兴致,xìngzhì,名
9088,高等,幸存,xìngcún,动
9089,三级,幸福,xìngfú,形、名
9090,高等,幸好,xìnghǎo,副
9091,高等,幸亏,xìngkuī,副
9092,高等,幸免,xìngmiǎn,动
9093,三级,幸运,xìngyùn,形
9094,三级,性（积极性）,xìng(jījíxìng),后缀
9095,三级,性别,xìngbié,名
